shopId,shopName,shop_location,shop_rating,shop_response_rate,shop_response_time,shop_follower_count,shop_item_count,shop_rating_good,shop_rating_normal,shop_rating_bad,is_official_shop,is_shopee_verified,positive_rating_pct,response_time_bucket,listing_count,avg_price_twd,avg_discount_pct,avg_product_rating,total_ratings,total_comments,total_likes,free_shipping_count,discounted_count,shopee_fulfilled_count,avg_models_count,free_shipping_rate,discount_rate,shopee_fulfilled_rate,total_engagement_score,shop_tier,follower_tier
1527003881,✨Volcano✨火山旗舰店,桃園市大園區,4.775509834289551,94.0,3006,31,4988,95,2,3,false,false,95.0,1. Under 1 hour,1,448.0,51.0,0.0,0,0,0,0,1,0,3.0,0.0,100.0,0.0,0,3. Established,4. < 100
1527082395,223ocean,海外,5.0,57.0,0,2,96,4,0,0,false,false,100.0,1. Under 1 hour,1,693.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,3. Established,4. < 100
1527156213,reluochui661,海外,5.0,57.0,0,1,369,9,0,0,false,false,100.0,1. Under 1 hour,1,310.0,48.0,0.0,0,0,0,0,1,0,4.0,0.0,100.0,0.0,0,3. Established,4. < 100
1528492500,慶曜居傢好物館,臺南市安平區,4.848724842071533,87.0,7872,1273,2987,1784,51,14,false,true,96.48,2. 1-6 hours,1,337.0,0.0,0.0,0,0,0,0,0,0,8.0,0.0,0.0,0.0,0,2. Power Seller,"2. 1,000-9.999"
1528901019,MT直營店,桃園市蘆竹區,4.906114101409912,93.0,7718,720,2366,1919,34,18,false,false,97.36,2. 1-6 hours,1,750.0,0.0,0.0,0,0,0,0,0,0,10.0,0.0,0.0,0.0,0,3. Established,3. 100-999
1530245671,miko 米可｜手機門號配件專賣,臺南市中西區,4.986465930938721,100.0,1113,10791,385,7360,16,3,true,false,99.74,1. Under 1 hour,1,21990.0,6.0,5.0,5,5,20,0,1,0,4.0,0.0,100.0,0.0,30,1. Official,"1. 10,000+"
1530559208,LoveJapan_tw,海外,4.984227180480957,66.0,14596,228,726,653,0,1,false,false,99.85,2. 1-6 hours,1,3780.0,0.0,0.0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,3. Established,3. 100-999
1530625803,K-BEAUTY HOUSE,海外,4.967213153839111,57.0,0,83,83,62,0,0,false,false,100.0,1. Under 1 hour,1,495.0,1.0,5.0,6,3,7,0,1,0,1.0,0.0,100.0,0.0,16,3. Established,4. < 100
1531028906,mandiecastpg.tw,海外,,,0,2,233,0,0,0,false,false,,1. Under 1 hour,1,898.0,9.0,0.0,0,0,0,0,1,0,1.0,0.0,100.0,0.0,0,4. General,4. < 100
1531031173,edisepniawanva.tw,海外,,57.0,0,2,118,0,0,0,false,false,,1. Under 1 hour,1,269.0,25.0,5.0,4,0,0,0,1,0,2.0,0.0,100.0,0.0,4,4. General,4. < 100
1531031263,hellohi1pk.tw,海外,,57.0,0,0,249,0,0,0,false,false,,1. Under 1 hour,1,1094.0,0.0,0.0,0,0,0,0,0,0,10.0,0.0,0.0,0.0,0,4. General,4. < 100
1531031758,5931joyinnq.tw,海外,,57.0,0,0,233,0,0,0,false,false,,1. Under 1 hour,1,59.0,6.0,4.94,17,0,0,0,1,0,4.0,0.0,100.0,0.0,17,4. General,4. < 100
1531032563,murahkalistorein.tw,海外,,57.0,0,0,5,0,0,0,false,false,,1. Under 1 hour,1,301.0,0.0,0.0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0,4. General,4. < 100
1531034917,calonimam667yb.tw,海外,,57.0,0,0,954,0,0,0,false,false,,1. Under 1 hour,1,55.0,11.0,0.0,0,0,0,0,1,0,12.0,0.0,100.0,0.0,0,4. General,4. < 100
1531035365,papamamababyshopalsutug.tw,海外,,57.0,0,0,62,0,0,0,false,false,,1. Under 1 hour,1,283.0,2.0,0.0,0,0,0,0,1,0,4.0,0.0,100.0,0.0,0,4. General,4. < 100
1531096366,472esopeshop.tw,海外,,57.0,0,0,84,0,0,0,false,false,,1. Under 1 hour,1,301.0,0.0,0.0,0,0,0,0,0,0,12.0,0.0,0.0,0.0,0,4. General,4. < 100
1531415315,浦拓ProTap台灣總代理-浦拓科技,新北市樹林區,4.955511093139648,77.0,11319,320,90,1005,4,2,false,true,99.41,2. 1-6 hours,2,665.0,0.5,2.33,3,3,6,0,1,0,1.5,0.0,50.0,0.0,12,3. Established,3. 100-999
1531559182,"""桂彬""VIP高端百貨舘",桃園市蘆竹區,4.816092014312744,67.0,10951,194,3105,262,8,4,false,false,95.62,2. 1-6 hours,1,386.0,0.0,0.0,0,0,0,0,0,0,40.0,0.0,0.0,0.0,0,3. Established,3. 100-999
